"x.pos","y.pos"
423126.37324507,-2139436.18679421
420520.42155561,-2134894.05664302
416654.70685679,-2125414.18138803
415877.82672258,-2123120.87253316
412905.65861651,-2112214.50001785
412540.63599154,-2103290.95353884
412983.32802534,-2100916.06713397
415692.15613699,-2093969.13688877
420757.27990535,-2088497.19840397
437530.7164046,-2076100.15494021
435214.74046899,-2066477.52536369
434701.25011132,-2060505.66095634
435980.35004046,-2054649.83136366
438937.15522026,-2049435.99017161
443306.0940075,-2045332.42943482
448694.76102468,-2042707.719046
454619.16186992,-2041797.60285993
468142.17165896,-2041770.34081997
496598.92472559,-2038990.37462576
497427.02809883,-2038926.80345639
518468.56965214,-2037750.36920908
520677.83045573,-2037749.06070459
534025.67092724,-2038479.47977708
535549.30293049,-2038621.48387656
550987.16829285,-2040658.59949098
552733.76912183,-2035789.90629432
557227.60434438,-2030416.54924721
563298.70107718,-2026922.36759423
570202.32515474,-2025735.98841415
715134.85811976,-2026582.65915299
720165.86580245,-2027256.17703471
727618.83638408,-2029241.40093059
732544.25114142,-2031289.53571658
736753.09049386,-2034566.76594022
739945.9526919,-2038839.96118707
744603.15660463,-2047206.32159885
746781.93929912,-2053228.43922556
746945.5750299,-2059630.48718598
746608.72717586,-2060734.91034571
746316.49984849,-2064894.3766271
743786.00659482,-2070912.52575137
739452.19310716,-2075795.10454162
735696.94773546,-2077930.16997273
738153.64962667,-2091184.10516987
743658.7796184,-2117376.38607762
743992.12534014,-2123429.99066462
742496.27407006,-2129305.33549226
742229.59290835,-2129736.79724793
741530.35355134,-2132441.69786937
738335.55492875,-2137576.96529864
724843.68217056,-2153327.46789389
718517.41109292,-2158245.37877931
687488.95523909,-2173583.85792314
681493.65187664,-2175448.22699883
675215.74643782,-2175361.98455279
669273.91919707,-2173333.62967771
661780.57325869,-2169369.63351852
654293.8777169,-2169004.93004572
652223.28248815,-2168795.65661727
646240.70830937,-2167874.46481559
638908.15227778,-2167152.81160084
635315.59307629,-2166463.06818327
619227.19122006,-2161814.71267111
594810.70188813,-2156835.67246339
588455.7721013,-2154351.96715363
585556.37833236,-2152598.21476577
582172.89174332,-2152830.83323468
576565.00598389,-2152424.17205892
554897.96560956,-2147728.44576521
553293.57393735,-2148011.30178061
543142.94319928,-2147538.82985114
533216.58252593,-2147740.47783897
526463.48860347,-2146710.80980474
523713.89071939,-2145228.10592097
517879.29266482,-2145569.13354323
507034.61761026,-2143804.47098404
495920.62684502,-2146286.86187355
491586.91197423,-2146767.80692945
477119.21440133,-2146786.61829671
477120.7031509,-2147416.15913854
476156.96995274,-2153597.18795025
473330.83387715,-2159178.12458585
468918.78923241,-2163612.95952091
463352.48729062,-2166467.81180102
457176.50579467,-2167463.37767531
442090.38362696,-2167505.42793035
435754.57165199,-2166493.94369449
430065.06652838,-2163528.28269061
425607.39818187,-2158913.65305713
422840.32324582,-2153124.9649467
422048.61256526,-2146757.95560637
423156.00907865,-2141252.11926116
423062.78659749,-2139642.79102194
423126.37324507,-2139436.18679421
